"","patch","S","year","landscape","area","log.area.","ENN","log.ENN."
"1","ag1a",24,2005,"Agriculture",3.510182487,0.545329695,20,1.301029996
"2","ag1b",15,2005,"Agriculture",0.615515494,-0.21076101,31.6228,1.500000321
"3","ag1c",25,2005,"Agriculture",2.235047068,0.349286673,31.6228,1.500000321
"4","ag1d",35,2005,"Agriculture",8.279881989,0.918024147,40,1.602059991
"5","ag2a",32,2005,"Agriculture",1.373653501,0.137877197,30,1.477121255
"6","ag2b",40,2005,"Agriculture",59.2797938,1.772906684,14.1421,1.150513904
"7","ag2c",27,2005,"Agriculture",0.558076837,-0.253306003,31.6228,1.500000321
"8","ag2d",37,2005,"Agriculture",4.3,0.633468456,14.1421,1.150513904
"9","ag3a",40,2005,"Agriculture",19.63624123,1.293058359,22.3607,1.349485395
"10","ag3b",36,2005,"Agriculture",5.491167519,0.739664693,31.6228,1.500000321
"11","ag3c",27,2005,"Agriculture",1.192333329,0.076397684,14.1421,1.150513904
"12","ag3d",33,2005,"Agriculture",3.091917157,0.490227849,14.1421,1.150513904
"13","ag3e",25,2005,"Agriculture",1.927944182,0.285094456,50,1.698970004
"14","ag3f",17,2005,"Agriculture",0.988109966,-0.00519472,70.7107,1.849485137
"15","ag4a",12,2005,"Agriculture",0.971466267,-0.012572275,20,1.301029996
"16","ag4b",37,2005,"Agriculture",5.484847739,0.739164576,60,1.77815125
"17","ag4c",33,2005,"Agriculture",4.445433163,0.647914085,14.1421,1.150513904
"18","ag4d",36,2005,"Agriculture",54.15249787,1.733618494,22.3607,1.349485395
"19","ag4e",35,2005,"Agriculture",18.75277092,1.273065448,60,1.77815125
"20","ag4f",25,2005,"Agriculture",2.694390812,0.430460589,30,1.477121255
"21","ag5a",37,2005,"Agriculture",9.142801923,0.961079311,20,1.301029996
"22","ag5b",19,2005,"Agriculture",1.207525264,0.081896226,14.1421,1.150513904
"23","ag5c",37,2005,"Agriculture",32.54042756,1.512423255,28.2843,1.451545435
"24","ag5d",33,2005,"Agriculture",3.889338201,0.589875709,44.7214,1.650515391
"25","ag5e",31,2005,"Agriculture",7.191335609,0.856809557,20,1.301029996
"26","b1a",37,2005,"Bauxite",13.32580396,1.12469342,28.2843,1.451545435
"27","b1b",23,2005,"Bauxite",1.729188659,0.237842379,80.6226,1.9064568
"28","b1c",16,2005,"Bauxite",0.581195343,-0.235677874,80,1.903089987
"29","b1d",27,2005,"Bauxite",2.233532546,0.348992285,40,1.602059991
"30","b1e",24,2005,"Bauxite",3.471833165,0.540558847,28.2843,1.451545435
"31","b1f",NA,2005,"Bauxite",0.801,-0.096367484,NA,NA
"32","b1g",NA,2005,"Bauxite",1.161,0.06483222,NA,NA
"33","b2a",35,2005,"Bauxite",8.756019504,0.94230672,14.1421,1.150513904
"34","b2b",17,2005,"Bauxite",1.856201185,0.268625046,56.5685,1.752574663
"35","b2c",22,2005,"Bauxite",5.131475363,0.710242248,60,1.77815125
"36","b2d",22,2005,"Bauxite",2.133647185,0.329122607,42.4264,1.627636182
"37","b2e",12,2005,"Bauxite",1.372295871,0.137447757,53.8516,1.731198611
"38","b3a",26,2005,"Bauxite",4.364211783,0.639905818,14.1421,1.150513904
"39","b3b",26,2005,"Bauxite",3.937414124,0.595211095,30,1.477121255
"40","b3c",11,2005,"Bauxite",1.099155626,0.041059187,14.1421,1.150513904
"41","b3d",26,2005,"Bauxite",2.106171125,0.323493654,20,1.301029996
"42","b3e",27,2005,"Bauxite",5.632060694,0.750667326,56.5685,1.752574663
"43","b3f",11,2005,"Bauxite",1.29872367,0.113516756,36.0555,1.556971523
"44","b4a",23,2005,"Bauxite",4.293197778,0.632780896,20,1.301029996
"45","b4b",33,2005,"Bauxite",10.06595289,1.002854894,58.3095,1.765739317
"46","b4c",20,2005,"Bauxite",1.591531084,0.201815125,82.4621,1.91625439
"47","b4d",12,2005,"Bauxite",1.467360359,0.166536782,44.7214,1.650515391
"48","b4e",13,2005,"Bauxite",0.804028991,-0.094728292,50.9902,1.707486715
"49","b5a",NA,2005,"Bauxite",2.875,0.458637849,NA,NA
"50","b5b",NA,2005,"Bauxite",4.133,0.616265405,NA,NA
"51","b5c",NA,2005,"Bauxite",3.023,0.480438147,NA,NA
"52","b5d",NA,2005,"Bauxite",2.32,0.365487985,NA,NA
"53","Ref1a",36,2005,"Forest",5.5,0.740362689,0,0
"54","Ref1b",20,2005,"Forest",1.2,0.079181246,0,0
"55","Ref1c",25,2005,"Forest",3.5,0.544068044,0,0
"56","Ref1d",20,2005,"Forest",1.2,0.079181246,0,0
"57","Ref1e",32,2005,"Forest",7.5,0.875061263,0,0
"58","Ref1g",16,2005,"Forest",15,1.176091259,0,0
"59","Ref1h",NA,2005,"Forest",2.2,0.342422681,0,0
"60","Ref2a",34,2005,"Forest",3.5,0.544068044,0,0
"61","Ref2b",29,2005,"Forest",2.2,0.342422681,0,0
"62","Ref2c",40,2005,"Forest",5.5,0.740362689,0,0
"63","Ref2d",29,2005,"Forest",2.2,0.342422681,0,0
"64","Ref2e",22,2005,"Forest",2.2,0.342422681,0,0
"65","Ref3a",14,2005,"Forest",1.2,0.079181246,0,0
"66","Ref3b",29,2005,"Forest",5.5,0.740362689,0,0
"67","Ref3c",27,2005,"Forest",3.5,0.544068044,0,0
"68","Ref3d",30,2005,"Forest",2.2,0.342422681,0,0
"69","Ref4a",23,2005,"Forest",1.2,0.079181246,0,0
"70","Ref4b",30,2005,"Forest",3.5,0.544068044,0,0
"71","Ref4c",26,2005,"Forest",2.2,0.342422681,0,0
"72","Ref4d",26,2005,"Forest",2.2,0.342422681,0,0
"73","Ref5a",18,2005,"Forest",1.2,0.079181246,0,0
"74","Ref5b",31,2005,"Forest",5.5,0.740362689,0,0
"75","Ref5c",28,2005,"Forest",5.5,0.740362689,0,0
"76","Ref5d",23,2005,"Forest",3.5,0.544068044,0,0
"77","Ref5e",19,2005,"Forest",1.2,0.079181246,0,0
"78","Ref6a",18,2005,"Forest",1.2,0.079181246,0,0
"79","Ref6b",23,2005,"Forest",2.2,0.342422681,0,0
"80","Ref6c",27,2005,"Forest",3.5,0.544068044,0,0
"81","Ref6d",26,2005,"Forest",3.5,0.544068044,0,0
"82","Ref6e",33,2005,"Forest",7.5,0.875061263,0,0
"83","Ref6f",31,2005,"Forest",25,1.397940009,0,0
"84","u1a",16,2005,"Urban",2.714609693,0.433707396,40,1.602059991
"85","u1b",30,2005,"Urban",4.679564129,0.670205403,22.3607,1.349485395
"86","u1c",21,2005,"Urban",1.697807763,0.229888515,14.1421,1.150513904
"87","u1d",14,2005,"Urban",1.413740647,0.150369745,170.2939,2.231199092
"88","u1e",19,2005,"Urban",6.87638321,0.837360071,36.0555,1.556971523
"89","u2a",31,2005,"Urban",4.650644836,0.667513174,28.2843,1.451545435
"90","u2b",16,2005,"Urban",1.432745233,0.156168972,28.2843,1.451545435
"91","u2c",22,2005,"Urban",3.289976727,0.517192826,28.2843,1.451545435
"92","u2d",17,2005,"Urban",1.258702897,0.099923232,60,1.77815125
"93","u2e",23,2005,"Urban",4.491479942,0.652389465,36.0555,1.556971523
"94","u3a",34,2005,"Urban",6.784100297,0.83149226,141.4214,2.150515132
"95","u3b",24,2005,"Urban",5.174847869,0.713897587,20,1.301029996
"96","u3c",25,2005,"Urban",3.138554824,0.496729719,220.9072,2.344209871
"97","u3d",15,2005,"Urban",1.38513128,0.141490937,14.1421,1.150513904
"98","u4a",25,2005,"Urban",1.814102273,0.258661767,22.3607,1.349485395
"99","u4b",19,2005,"Urban",1.019398382,0.00834394,31.6228,1.500000321
"100","u4c",24,2005,"Urban",2.912882045,0.464322899,22.3607,1.349485395
"101","u4d",23,2005,"Urban",2.670725253,0.426629213,80.6226,1.9064568
"102","u4e",27,2005,"Urban",8.342355857,0.921288711,58.3095,1.765739317
"103","ag1a",NA,2006,"Agriculture",3.510182487,0.545329695,20,1.301029996
"104","ag1b",NA,2006,"Agriculture",0.615515494,-0.21076101,31.6228,1.500000321
"105","ag1c",NA,2006,"Agriculture",2.235047068,0.349286673,31.6228,1.500000321
"106","ag1d",NA,2006,"Agriculture",8.279881989,0.918024147,40,1.602059991
"107","ag2a",26,2006,"Agriculture",1.373653501,0.137877197,30,1.477121255
"108","ag2b",NA,2006,"Agriculture",59.2797938,1.772906684,14.1421,1.150513904
"109","ag2c",22,2006,"Agriculture",0.558076837,-0.253306003,31.6228,1.500000321
"110","ag2d",27,2006,"Agriculture",4.3,0.633468456,14.1421,1.150513904
"111","ag3a",29,2006,"Agriculture",19.63624123,1.293058359,22.3607,1.349485395
"112","ag3b",31,2006,"Agriculture",5.491167519,0.739664693,31.6228,1.500000321
"113","ag3c",18,2006,"Agriculture",1.192333329,0.076397684,14.1421,1.150513904
"114","ag3d",22,2006,"Agriculture",3.091917157,0.490227849,14.1421,1.150513904
"115","ag3e",NA,2006,"Agriculture",1.927944182,0.285094456,50,1.698970004
"116","ag3f",17,2006,"Agriculture",0.988109966,-0.00519472,70.7107,1.849485137
"117","ag4a",18,2006,"Agriculture",0.971466267,-0.012572275,20,1.301029996
"118","ag4b",33,2006,"Agriculture",5.484847739,0.739164576,60,1.77815125
"119","ag4c",35,2006,"Agriculture",4.445433163,0.647914085,14.1421,1.150513904
"120","ag4d",NA,2006,"Agriculture",54.15249787,1.733618494,22.3607,1.349485395
"121","ag4e",NA,2006,"Agriculture",18.75277092,1.273065448,60,1.77815125
"122","ag4f",35,2006,"Agriculture",2.694390812,0.430460589,30,1.477121255
"123","ag5a",30,2006,"Agriculture",9.142801923,0.961079311,20,1.301029996
"124","ag5b",18,2006,"Agriculture",1.207525264,0.081896226,14.1421,1.150513904
"125","ag5c",NA,2006,"Agriculture",32.54042756,1.512423255,28.2843,1.451545435
"126","ag5d",26,2006,"Agriculture",3.889338201,0.589875709,44.7214,1.650515391
"127","ag5e",32,2006,"Agriculture",7.191335609,0.856809557,20,1.301029996
"128","b1a",29,2006,"Bauxite",13.32580396,1.12469342,28.2843,1.451545435
"129","b1b",23,2006,"Bauxite",1.729188659,0.237842379,80.6226,1.9064568
"130","b1c",11,2006,"Bauxite",0.581195343,-0.235677874,80,1.903089987
"131","b1d",26,2006,"Bauxite",2.233532546,0.348992285,40,1.602059991
"132","b1e",29,2006,"Bauxite",3.471833165,0.540558847,28.2843,1.451545435
"133","b1f",14,2006,"Bauxite",0.801,-0.096367484,NA,NA
"134","b1g",15,2006,"Bauxite",1.161,0.06483222,NA,NA
"135","b2a",24,2006,"Bauxite",8.756019504,0.94230672,14.1421,1.150513904
"136","b2b",13,2006,"Bauxite",1.856201185,0.268625046,56.5685,1.752574663
"137","b2c",23,2006,"Bauxite",5.131475363,0.710242248,60,1.77815125
"138","b2d",12,2006,"Bauxite",2.133647185,0.329122607,42.4264,1.627636182
"139","b2e",14,2006,"Bauxite",1.372295871,0.137447757,53.8516,1.731198611
"140","b3a",21,2006,"Bauxite",4.364211783,0.639905818,14.1421,1.150513904
"141","b3b",22,2006,"Bauxite",3.937414124,0.595211095,30,1.477121255
"142","b3c",8,2006,"Bauxite",1.099155626,0.041059187,14.1421,1.150513904
"143","b3d",19,2006,"Bauxite",2.106171125,0.323493654,20,1.301029996
"144","b3e",21,2006,"Bauxite",5.632060694,0.750667326,56.5685,1.752574663
"145","b3f",9,2006,"Bauxite",1.29872367,0.113516756,36.0555,1.556971523
"146","b4a",26,2006,"Bauxite",4.293197778,0.632780896,20,1.301029996
"147","b4b",27,2006,"Bauxite",10.06595289,1.002854894,58.3095,1.765739317
"148","b4c",16,2006,"Bauxite",1.591531084,0.201815125,82.4621,1.91625439
"149","b4d",NA,2006,"Bauxite",1.467360359,0.166536782,44.7214,1.650515391
"150","b4e",16,2006,"Bauxite",0.804028991,-0.094728292,50.9902,1.707486715
"151","b5a",NA,2006,"Bauxite",2.875,0.458637849,NA,NA
"152","b5b",NA,2006,"Bauxite",4.133,0.616265405,NA,NA
"153","b5c",NA,2006,"Bauxite",3.023,0.480438147,NA,NA
"154","b5d",NA,2006,"Bauxite",2.32,0.365487985,NA,NA
"155","Ref1a",33,2006,"Forest",5.5,0.740362689,0,0
"156","Ref1b",14,2006,"Forest",1.2,0.079181246,0,0
"157","Ref1c",27,2006,"Forest",3.5,0.544068044,0,0
"158","Ref1d",NA,2006,"Forest",1.2,0.079181246,0,0
"159","Ref1e",NA,2006,"Forest",7.5,0.875061263,0,0
"160","Ref1g",NA,2006,"Forest",15,1.176091259,0,0
"161","Ref1h",NA,2006,"Forest",2.2,0.342422681,0,0
"162","Ref2a",35,2006,"Forest",3.5,0.544068044,0,0
"163","Ref2b",33,2006,"Forest",2.2,0.342422681,0,0
"164","Ref2c",35,2006,"Forest",5.5,0.740362689,0,0
"165","Ref2d",20,2006,"Forest",2.2,0.342422681,0,0
"166","Ref2e",NA,2006,"Forest",2.2,0.342422681,0,0
"167","Ref3a",11,2006,"Forest",1.2,0.079181246,0,0
"168","Ref3b",14,2006,"Forest",5.5,0.740362689,0,0
"169","Ref3c",16,2006,"Forest",3.5,0.544068044,0,0
"170","Ref3d",17,2006,"Forest",2.2,0.342422681,0,0
"171","Ref4a",NA,2006,"Forest",1.2,0.079181246,0,0
"172","Ref4b",NA,2006,"Forest",3.5,0.544068044,0,0
"173","Ref4c",NA,2006,"Forest",2.2,0.342422681,0,0
"174","Ref4d",NA,2006,"Forest",2.2,0.342422681,0,0
"175","Ref5a",NA,2006,"Forest",1.2,0.079181246,0,0
"176","Ref5b",NA,2006,"Forest",5.5,0.740362689,0,0
"177","Ref5c",NA,2006,"Forest",5.5,0.740362689,0,0
"178","Ref5d",NA,2006,"Forest",3.5,0.544068044,0,0
"179","Ref5e",NA,2006,"Forest",1.2,0.079181246,0,0
"180","Ref6a",NA,2006,"Forest",1.2,0.079181246,0,0
"181","Ref6b",NA,2006,"Forest",2.2,0.342422681,0,0
"182","Ref6c",NA,2006,"Forest",3.5,0.544068044,0,0
"183","Ref6d",NA,2006,"Forest",3.5,0.544068044,0,0
"184","Ref6e",33,2006,"Forest",7.5,0.875061263,0,0
"185","Ref6f",31,2006,"Forest",25,1.397940009,0,0
"186","u1a",18,2006,"Urban",2.714609693,0.433707396,40,1.602059991
"187","u1b",15,2006,"Urban",4.679564129,0.670205403,22.3607,1.349485395
"188","u1c",11,2006,"Urban",1.697807763,0.229888515,14.1421,1.150513904
"189","u1d",10,2006,"Urban",1.413740647,0.150369745,170.2939,2.231199092
"190","u1e",16,2006,"Urban",6.87638321,0.837360071,36.0555,1.556971523
"191","u2a",31,2006,"Urban",4.650644836,0.667513174,28.2843,1.451545435
"192","u2b",13,2006,"Urban",1.432745233,0.156168972,28.2843,1.451545435
"193","u2c",26,2006,"Urban",3.289976727,0.517192826,28.2843,1.451545435
"194","u2d",20,2006,"Urban",1.258702897,0.099923232,60,1.77815125
"195","u2e",26,2006,"Urban",4.491479942,0.652389465,36.0555,1.556971523
"196","u3a",27,2006,"Urban",6.784100297,0.83149226,141.4214,2.150515132
"197","u3b",13,2006,"Urban",5.174847869,0.713897587,20,1.301029996
"198","u3c",21,2006,"Urban",3.138554824,0.496729719,220.9072,2.344209871
"199","u3d",15,2006,"Urban",1.38513128,0.141490937,14.1421,1.150513904
"200","u4a",17,2006,"Urban",1.814102273,0.258661767,22.3607,1.349485395
"201","u4b",7,2006,"Urban",1.019398382,0.00834394,31.6228,1.500000321
"202","u4c",18,2006,"Urban",2.912882045,0.464322899,22.3607,1.349485395
"203","u4d",17,2006,"Urban",2.670725253,0.426629213,80.6226,1.9064568
"204","u4e",23,2006,"Urban",8.342355857,0.921288711,58.3095,1.765739317
"205","ag1a",NA,2007,"Agriculture",3.510182487,0.545329695,20,1.301029996
"206","ag1b",NA,2007,"Agriculture",0.615515494,-0.21076101,31.6228,1.500000321
"207","ag1c",NA,2007,"Agriculture",2.235047068,0.349286673,31.6228,1.500000321
"208","ag1d",NA,2007,"Agriculture",8.279881989,0.918024147,40,1.602059991
"209","ag2a",22,2007,"Agriculture",1.373653501,0.137877197,30,1.477121255
"210","ag2b",39,2007,"Agriculture",59.2797938,1.772906684,14.1421,1.150513904
"211","ag2c",20,2007,"Agriculture",0.558076837,-0.253306003,31.6228,1.500000321
"212","ag2d",33,2007,"Agriculture",4.3,0.633468456,14.1421,1.150513904
"213","ag3a",38,2007,"Agriculture",19.63624123,1.293058359,22.3607,1.349485395
"214","ag3b",33,2007,"Agriculture",5.491167519,0.739664693,31.6228,1.500000321
"215","ag3c",22,2007,"Agriculture",1.192333329,0.076397684,14.1421,1.150513904
"216","ag3d",22,2007,"Agriculture",3.091917157,0.490227849,14.1421,1.150513904
"217","ag3e",24,2007,"Agriculture",1.927944182,0.285094456,50,1.698970004
"218","ag3f",11,2007,"Agriculture",0.988109966,-0.00519472,70.7107,1.849485137
"219","ag4a",16,2007,"Agriculture",0.971466267,-0.012572275,20,1.301029996
"220","ag4b",NA,2007,"Agriculture",5.484847739,0.739164576,60,1.77815125
"221","ag4c",29,2007,"Agriculture",4.445433163,0.647914085,14.1421,1.150513904
"222","ag4d",39,2007,"Agriculture",54.15249787,1.733618494,22.3607,1.349485395
"223","ag4e",NA,2007,"Agriculture",18.75277092,1.273065448,60,1.77815125
"224","ag4f",26,2007,"Agriculture",2.694390812,0.430460589,30,1.477121255
"225","ag5a",34,2007,"Agriculture",9.142801923,0.961079311,20,1.301029996
"226","ag5b",25,2007,"Agriculture",1.207525264,0.081896226,14.1421,1.150513904
"227","ag5c",36,2007,"Agriculture",32.54042756,1.512423255,28.2843,1.451545435
"228","ag5d",31,2007,"Agriculture",3.889338201,0.589875709,44.7214,1.650515391
"229","ag5e",35,2007,"Agriculture",7.191335609,0.856809557,20,1.301029996
"230","b1a",32,2007,"Bauxite",13.32580396,1.12469342,28.2843,1.451545435
"231","b1b",14,2007,"Bauxite",1.729188659,0.237842379,80.6226,1.9064568
"232","b1c",6,2007,"Bauxite",0.581195343,-0.235677874,80,1.903089987
"233","b1d",22,2007,"Bauxite",2.233532546,0.348992285,40,1.602059991
"234","b1e",24,2007,"Bauxite",3.471833165,0.540558847,28.2843,1.451545435
"235","b1f",10,2007,"Bauxite",0.801,-0.096367484,NA,NA
"236","b1g",18,2007,"Bauxite",1.161,0.06483222,NA,NA
"237","b2a",25,2007,"Bauxite",8.756019504,0.94230672,14.1421,1.150513904
"238","b2b",17,2007,"Bauxite",1.856201185,0.268625046,56.5685,1.752574663
"239","b2c",29,2007,"Bauxite",5.131475363,0.710242248,60,1.77815125
"240","b2d",15,2007,"Bauxite",2.133647185,0.329122607,42.4264,1.627636182
"241","b2e",12,2007,"Bauxite",1.372295871,0.137447757,53.8516,1.731198611
"242","b3a",23,2007,"Bauxite",4.364211783,0.639905818,14.1421,1.150513904
"243","b3b",26,2007,"Bauxite",3.937414124,0.595211095,30,1.477121255
"244","b3c",12,2007,"Bauxite",1.099155626,0.041059187,14.1421,1.150513904
"245","b3d",23,2007,"Bauxite",2.106171125,0.323493654,20,1.301029996
"246","b3e",25,2007,"Bauxite",5.632060694,0.750667326,56.5685,1.752574663
"247","b3f",10,2007,"Bauxite",1.29872367,0.113516756,36.0555,1.556971523
"248","b4a",21,2007,"Bauxite",4.293197778,0.632780896,20,1.301029996
"249","b4b",23,2007,"Bauxite",10.06595289,1.002854894,58.3095,1.765739317
"250","b4c",16,2007,"Bauxite",1.591531084,0.201815125,82.4621,1.91625439
"251","b4d",NA,2007,"Bauxite",1.467360359,0.166536782,44.7214,1.650515391
"252","b4e",10,2007,"Bauxite",0.804028991,-0.094728292,50.9902,1.707486715
"253","b5a",22,2007,"Bauxite",2.875,0.458637849,NA,NA
"254","b5b",26,2007,"Bauxite",4.133,0.616265405,NA,NA
"255","b5c",23,2007,"Bauxite",3.023,0.480438147,NA,NA
"256","b5d",18,2007,"Bauxite",2.32,0.365487985,NA,NA
"257","Ref1a",33,2007,"Forest",5.5,0.740362689,0,0
"258","Ref1b",12,2007,"Forest",1.2,0.079181246,0,0
"259","Ref1c",22,2007,"Forest",3.5,0.544068044,0,0
"260","Ref1d",NA,2007,"Forest",1.2,0.079181246,0,0
"261","Ref1e",NA,2007,"Forest",7.5,0.875061263,0,0
"262","Ref1g",14,2007,"Forest",15,1.176091259,0,0
"263","Ref1h",NA,2007,"Forest",2.2,0.342422681,0,0
"264","Ref2a",35,2007,"Forest",3.5,0.544068044,0,0
"265","Ref2b",28,2007,"Forest",2.2,0.342422681,0,0
"266","Ref2c",36,2007,"Forest",5.5,0.740362689,0,0
"267","Ref2d",22,2007,"Forest",2.2,0.342422681,0,0
"268","Ref2e",25,2007,"Forest",2.2,0.342422681,0,0
"269","Ref3a",10,2007,"Forest",1.2,0.079181246,0,0
"270","Ref3b",23,2007,"Forest",5.5,0.740362689,0,0
"271","Ref3c",19,2007,"Forest",3.5,0.544068044,0,0
"272","Ref3d",24,2007,"Forest",2.2,0.342422681,0,0
"273","Ref4a",16,2007,"Forest",1.2,0.079181246,0,0
"274","Ref4b",25,2007,"Forest",3.5,0.544068044,0,0
"275","Ref4c",23,2007,"Forest",2.2,0.342422681,0,0
"276","Ref4d",24,2007,"Forest",2.2,0.342422681,0,0
"277","Ref5a",13,2007,"Forest",1.2,0.079181246,0,0
"278","Ref5b",27,2007,"Forest",5.5,0.740362689,0,0
"279","Ref5c",24,2007,"Forest",5.5,0.740362689,0,0
"280","Ref5d",25,2007,"Forest",3.5,0.544068044,0,0
"281","Ref5e",16,2007,"Forest",1.2,0.079181246,0,0
"282","Ref6a",22,2007,"Forest",1.2,0.079181246,0,0
"283","Ref6b",27,2007,"Forest",2.2,0.342422681,0,0
"284","Ref6c",29,2007,"Forest",3.5,0.544068044,0,0
"285","Ref6d",32,2007,"Forest",3.5,0.544068044,0,0
"286","Ref6e",37,2007,"Forest",7.5,0.875061263,0,0
"287","Ref6f",31,2007,"Forest",25,1.397940009,0,0
"288","u1a",14,2007,"Urban",2.714609693,0.433707396,40,1.602059991
"289","u1b",22,2007,"Urban",4.679564129,0.670205403,22.3607,1.349485395
"290","u1c",17,2007,"Urban",1.697807763,0.229888515,14.1421,1.150513904
"291","u1d",11,2007,"Urban",1.413740647,0.150369745,170.2939,2.231199092
"292","u1e",18,2007,"Urban",6.87638321,0.837360071,36.0555,1.556971523
"293","u2a",27,2007,"Urban",4.650644836,0.667513174,28.2843,1.451545435
"294","u2b",17,2007,"Urban",1.432745233,0.156168972,28.2843,1.451545435
"295","u2c",16,2007,"Urban",3.289976727,0.517192826,28.2843,1.451545435
"296","u2d",11,2007,"Urban",1.258702897,0.099923232,60,1.77815125
"297","u2e",20,2007,"Urban",4.491479942,0.652389465,36.0555,1.556971523
"298","u3a",29,2007,"Urban",6.784100297,0.83149226,141.4214,2.150515132
"299","u3b",21,2007,"Urban",5.174847869,0.713897587,20,1.301029996
"300","u3c",19,2007,"Urban",3.138554824,0.496729719,220.9072,2.344209871
"301","u3d",14,2007,"Urban",1.38513128,0.141490937,14.1421,1.150513904
"302","u4a",17,2007,"Urban",1.814102273,0.258661767,22.3607,1.349485395
"303","u4b",16,2007,"Urban",1.019398382,0.00834394,31.6228,1.500000321
"304","u4c",17,2007,"Urban",2.912882045,0.464322899,22.3607,1.349485395
"305","u4d",21,2007,"Urban",2.670725253,0.426629213,80.6226,1.9064568
"306","u4e",22,2007,"Urban",8.342355857,0.921288711,58.3095,1.765739317
